RegionName	team_number	selection	unique_product	commodity
Bono	1	1	soft drink (330ml) - bottle (330ml)	154
Bono	1	1	beans - half fertilizer bag	155
Bono	1	1	soap - piece (s)	156
Bono	1	1	sandals - pair	157
Bono	1	1	metal scraps - small sack	158
Bono	1	1	mosquito net - piece (s)	159
Bono	1	1	alcoholic drink (750ml) - bottle (750ml)	160
Bono	1	1	alcoholic drink (50ml) - box	161
Bono	1	1	local herbs (mahogany bark ,mahogany herbs) - polythene bag	162
Bono	1	1	sorghum - half sack	163
Bono	1	1	garden eggs (solanu, ntroba) - small sack	164
Bono	1	1	pegs - pack	165
Bono	1	1	perfume spray - piece (s)	166
Bono	1	1	meat - half sack	167
Bono	1	1	soft drink (350ml) - bottle (350ml)	168
Bono	1	1	pig (1yr to 3yrs female) - piece (s)	169
Bono	3	2	fresh tomatoes - wooden box	170
Bono	3	2	fresh tomatoes - box	171
Bono	3	2	bottled water (500ml, 0.5L) - pack (36)	172
Bono	3	2	energy drink (330ml) - pack (12)	102
Bono	3	2	motor tyre - piece (s)	21
Bono	3	2	cooking (vegetable) oil - gallon (5L)	116
Bono	3	2	rice - bag 50kg	36
Bono	3	2	cement - bag 50kg	41
Bono	3	2	fresh tomatoes - pan	173
Bono	3	2	eggs - crate	174
Bono	3	2	cooking (vegetable) oil - gallon (25L)	175
Bono	3	2	plantain - bunch	56
Bono	3	2	cooking (vegetable) oil - box	176
Bono	3	2	cabbage - sack	177
Bono	3	2	rope - bundle	178
Bono	3	2	onion - sack	179
Bono	3	2	beans - sack	111
Bono	3	2	plantain - sack	180
Bono	3	2	palm (red) oil - gallon (5L)	181
Bono	3	2	carpet - roll	182
Bono	3	2	yam (cocoyam,water yam) - tuber	17
Bono	3	2	lpg gas - cylinder (12kg)	183
Bono	3	2	fresh tomatoes - half box	184
Bono	3	2	barrel (plastic container) 250L - piece (s)	185
Bono	3	2	maize (corn) - sack	186
Bono	3	2	maize (corn) - small sack	50
Bono	3	2	rice - half 50kg bag	187
Bono	3	2	second hand clothes - sack	34
Bono	3	2	carrots - pan	188
Bono	3	2	palm nut fruits - small sack	189
Bono	3	2	garden eggs (solanu, ntroba) - small sack	164
Bono	3	2	fresh pepper - sack	190
Bono	3	2	cassava - sack	191
Bono	3	2	petrol - gallon (25L)	55
Bono	3	2	smoked herring (smoked fish) - basket	192
Bono	3	2	machete - piece (s)	193
Bono	3	2	pepper (kivo pepper) - box	194
Bono	3	2	washing powder detergent - bucket (10L)	195
Bono	3	2	diaper - pack	196
Bono	3	2	soap - box	3
Bono	3	2	slippers - sack	197
Bono	3	2	spaghetti - box (20)	105
Bono	3	2	oats - box	198
Bono	3	2	sardine - tin	199
Bono	3	2	garden eggs (solanu, ntroba) - rubber bowl	200
Bono	3	2	yam (cocoyam,water yam) - small sack	5
Bono	3	2	charcoal - sack	22
Bono	3	2	milo - box	201
Bono	3	2	paint - paint rubber (small)	202
Bono	3	2	banana - bunch	203
Bono	3	2	vegetable leaves (spinach, kontomire, cocoyam leaves, sweet potato leaves, amaranth leaves, alefu, fontete, amaratus) - bundle	204
Bono	3	2	cassava - tuber	24
Bono	3	2	petrol - gallon (5L)	66
Bono	3	2	fertilizer (fertiliser) - box	205
Bono	3	2	soft drink (300ml) - pack (16)	206
Bono	3	2	slippers - small sack	207
Bono	3	2	second hand clothes - pan	208
Bono	3	2	cabbage - pan	209
Bono	3	2	firewood - bundle	18
Bono	3	2	fertilizer (fertiliser) - bag 25kg	210
Bono	3	2	drugs (medicine, syrup) - box	211
Bono	3	2	sugar - half sack	212
Bono	3	2	dried (dry) fish (gblolovi, amani) - box	213
Bono	3	2	garden eggs (solanu, ntroba) - half sack	214
Bono	3	2	rice - bag 5kg	7
Bono	3	2	lpg gas - cylinder (5kg)	215
Bono	3	2	rice - bag 25kg	146
Bono	3	2	fertilizer (fertiliser) - bag 50kg	216
Bono	3	2	fungicide - bag 12.5kg	217
Bono	3	2	bottled water (500ml, 0.5L) - pack (12)	103
Bono	3	2	fresh tomatoes - rubber bowl	150
Bono	3	2	vegetable leaves (spinach, kontomire, cocoyam leaves, sweet potato leaves, amaranth leaves, alefu, fontete, amaratus) - pan	218
Bono	3	2	male fowl, cock (1yr to 3yrs) - piece (s)	10
Bono	3	2	soft drink (330ml) - pack (20)	219
Bono	3	2	animal feed (maize chaff) - sack	220
Bono	3	2	gari - sack	221
Bono	3	2	kokonte (cassava chips) - sack	222
Bono	3	2	potatoes (sweet potatoes) - sack	223
Bono	3	2	local broom - piece (s)	39
Bono	3	2	BRC mesh wire - roll	224
Bono	3	2	maize (corn) - half sack	70
Bono	3	2	liquid soap - gallon (5L)	225
Bono	3	2	snail (aborbor) - sack	226
Bono	3	2	rice (local rice) - sack	227
Bono	3	2	rubber bowl (plastic bowl) - piece (s)	228
Bono	3	2	sugar - sack	229
Bono	3	2	standing fan - piece (s)	96
