rowcode	selection	commodity
64217	187	1
64218	187	104
64219	187	1073
64220	187	47
64221	187	99
64222	187	457
64223	187	954
64224	187	266
64225	187	3
64226	187	57
64227	187	911
64228	187	275
64229	187	216
64230	187	389
64231	187	662
64232	187	330
64233	187	635
64234	187	804
64235	187	1165
64236	187	200
64237	187	905
64238	187	121
64239	187	91
64240	187	648
64241	187	274
64242	187	1021
64243	187	611
64244	187	1262
64245	187	53
64246	187	271
64247	187	893
64248	187	436
64249	187	77
64250	187	210
64251	187	179
64252	187	568
64253	187	425
64254	187	1002
64255	187	812
64256	187	340
64257	187	261
64258	187	1011
64259	187	505
64260	187	427
64261	187	65
64262	187	9
64263	187	996
64264	187	206
64265	187	1201
64266	187	380
64267	187	724
64268	187	111
64269	187	673
64270	187	358
64271	187	302
64272	187	912
64273	187	316
64274	187	466
64275	187	1506
64276	187	221
64277	187	257
64278	187	1175
64279	187	196
64280	187	698
64281	187	10
64282	187	770
64283	187	157
64284	187	357
64285	187	813
64286	187	2
64287	187	726
64288	187	1158
64289	187	704
64290	187	455
64291	187	1101
64292	187	589
64293	187	273
64294	187	1126
64295	187	322
64296	187	815
64297	187	411
64298	187	69
64299	187	582
64300	187	365
64301	187	129
64302	187	1391
64303	187	434
64304	187	897
64305	187	40
64306	187	906
64307	187	500
64308	187	693
64309	187	119
64310	187	1309
64311	187	868
64312	187	283
64313	187	229
64314	187	291
64315	187	38
64316	187	684
64317	187	665
64318	187	461
64319	187	182
64320	187	92
64321	187	112
64322	187	304
64323	187	1289
64324	187	620
64325	187	426
64326	187	1022
64327	187	664
64328	187	429
64329	187	477
64330	187	44
64331	187	98
64332	187	745
64333	187	1034
64334	187	740
64335	187	917
64336	187	79
64337	187	668
64338	187	414
64339	187	1224
64340	187	769
64341	187	1343
64342	187	422
64343	187	75
64344	187	898
64345	187	442
64346	187	702
64347	187	877
64348	187	888
64349	187	670
64350	187	519
64351	187	415
64352	187	610
64353	187	1115
64354	187	1302
64355	187	96
64356	187	81
64357	187	1348
