rowcode	selection	commodity
39777	109	320
39778	109	1036
39779	109	1120
39780	109	326
39781	109	478
39782	109	221
39783	109	115
39784	109	3
39785	109	98
39786	109	104
39787	109	41
39788	109	303
39789	109	803
39790	109	847
39791	109	38
39792	109	941
39793	109	585
39794	109	1519
39795	109	751
39796	109	33
39797	109	156
39798	109	455
39799	109	1074
39800	109	399
39801	109	812
39802	109	17
39803	109	138
39804	109	247
39805	109	71
39806	109	1108
39807	109	670
39808	109	2
39809	109	359
39810	109	210
39811	109	146
39812	109	748
39813	109	841
39814	109	133
39815	109	572
39816	109	308
39817	109	181
39818	109	7
39819	109	61
39820	109	155
39821	109	697
39822	109	740
39823	109	99
39824	109	1032
39825	109	815
39826	109	254
39827	109	809
39828	109	944
39829	109	786
39830	109	552
39831	109	43
39832	109	54
39833	110	642
39834	110	730
39835	110	78
39836	110	1453
39837	110	952
39838	110	1016
39839	110	1625
39840	110	271
39841	110	1202
39842	110	679
39843	110	932
39844	110	55
39845	110	844
39846	110	34
39847	110	261
39848	110	97
39849	110	231
39850	110	392
39851	110	53
39852	110	54
39853	110	3
39854	110	460
39855	110	228
39856	110	110
39857	110	1120
39858	110	196
39859	110	105
39860	110	176
39861	110	63
39862	110	33
39863	110	437
39864	110	106
39865	110	92
39866	110	192
39867	110	467
39868	110	336
39869	110	103
39870	110	1649
39871	110	506
39872	110	65
39873	110	2
39874	110	234
39875	110	735
39876	110	70
39877	110	190
39878	110	507
39879	110	868
39880	110	175
39881	110	347
39882	110	1132
39883	110	332
39884	110	379
39885	110	1338
39886	110	235
39887	110	360
39888	110	72
39889	110	996
39890	110	926
39891	110	1102
39892	110	146
39893	110	17
39894	110	22
39895	110	1119
39896	110	512
39897	110	816
39898	110	314
39899	110	361
39900	110	244
39901	110	295
39902	110	786
39903	110	1201
39904	110	61
39905	110	1087
39906	110	585
39907	110	574
39908	110	426
39909	110	493
39910	110	284
39911	110	12
39912	110	694
39913	110	321
39914	110	917
39915	110	256
39916	110	247
39917	110	832
39918	110	327
39919	110	52
39920	110	338
39921	110	195
39922	110	334
39923	110	1566
39924	110	107
39925	110	221
39926	110	628
39927	110	211
39928	110	964
39929	110	219
39930	110	179
39931	110	404
39932	110	238
39933	110	1
39934	110	297
39935	110	39
39936	110	343
39937	110	280
39938	110	87
39939	110	1166
39940	110	333
39941	110	200
39942	110	132
39943	110	427
39944	110	391
39945	110	1258
39946	110	267
39947	110	262
39948	110	597
39949	110	180
39950	110	658
39951	110	421
39952	110	312
39953	110	698
39954	110	618
39955	110	1218
39956	110	243
39957	110	1176
39958	110	283
39959	110	287
39960	110	1270
39961	110	266
39962	110	363
39963	110	56
39964	110	528
39965	110	229
