rowcode	selection	commodity
75082	180	1039
75083	180	817
75084	180	650
75085	180	1028
75086	180	735
75087	180	536
75088	180	615
75089	180	1164
75090	180	1304
75091	180	1270
75092	180	1501
75093	180	505
75094	180	432
75095	180	1274
75096	180	85
75097	180	1752
75098	180	1677
75099	180	1247
75100	180	1327
75101	180	1202
75102	180	1080
75103	180	431
75104	180	439
75105	180	1451
75106	180	1640
75107	180	1484
75108	181	55
75109	181	360
75110	181	247
75111	181	7
75112	181	146
75113	181	9
75114	181	326
75115	181	287
75116	181	175
75117	181	531
75118	181	612
75119	181	284
75120	181	922
75121	181	797
75122	181	701
75123	181	138
75124	181	120
75125	181	235
75126	181	344
75127	181	34
75128	181	717
75129	181	56
75130	181	191
75131	181	816
75132	181	509
75133	181	130
75134	181	161
75135	181	552
75136	181	302
75137	181	291
75138	181	806
75139	181	600
75140	181	336
75141	181	96
75142	181	576
75143	181	341
75144	181	342
75145	181	352
75146	181	907
75147	181	172
75148	181	97
75149	181	698
75150	181	269
75151	181	59
75152	181	460
75153	181	447
75154	181	266
75155	181	751
75156	181	510
75157	181	203
75158	181	473
75159	181	98
75160	181	436
75161	181	87
75162	181	607
75163	181	17
75164	181	748
75165	181	1093
75166	181	414
75167	181	586
75168	181	206
75169	181	1578
75170	181	340
75171	181	297
75172	181	384
75173	181	434
75174	181	132
75175	181	308
75176	181	702
75177	181	179
75178	181	223
75179	181	226
75180	181	588
75181	181	57
75182	181	15
75183	181	648
75184	181	1550
75185	181	1363
75186	181	213
75187	181	618
75188	181	691
75189	181	670
75190	181	241
75191	181	497
75192	181	261
75193	181	52
75194	181	818
75195	181	44
75196	181	706
75197	181	19
75198	181	180
75199	181	84
75200	181	455
75201	181	1045
75202	181	189
75203	181	753
75204	181	438
75205	181	1002
75206	181	328
75207	181	221
75208	181	1505
75209	181	173
75210	181	1577
75211	181	610
75212	181	363
75213	181	234
75214	181	786
75215	181	1524
75216	181	362
75217	181	5
75218	181	320
75219	181	218
75220	181	4
75221	181	587
75222	181	219
75223	181	301
75224	181	174
75225	181	243
75226	181	194
75227	181	795
75228	181	54
75229	181	401
75230	181	1035
75231	181	295
75232	181	192
75233	181	116
75234	181	39
75235	181	278
75236	181	317
75237	181	262
75238	181	26
75239	181	1744
75240	181	964
75241	181	294
75242	181	398
75243	181	149
75244	181	446
75245	181	36
75246	181	767
75247	181	832
75248	181	722
75249	181	918
75250	181	389
75251	181	324
75252	181	196
75253	181	454
75254	181	176
75255	181	8
75256	181	744
75257	181	972
75258	181	461
75259	181	3
75260	181	333
75261	181	327
75262	181	492
75263	181	966
75264	181	399
75265	181	246
75266	181	512
75267	181	379
75268	181	392
75269	181	385
75270	181	1163
75271	181	482
75272	181	1116
75273	181	424
75274	181	847
75275	181	230
75276	181	66
75277	181	404
75278	181	452
75279	181	164
75280	181	151
75281	181	361
75282	181	480
75283	181	1025
75284	181	403
75285	181	467
75286	181	53
75287	181	357
75288	181	844
75289	181	516
75290	181	114
75291	181	660
75292	181	809
75293	181	147
75294	181	674
75295	181	244
75296	181	656
75297	181	1080
75298	181	450
75299	181	1686
75300	181	103
75301	181	112
75302	181	597
75303	181	370
75304	181	710
75305	181	32
75306	181	938
75307	181	954
75308	181	314
75309	181	271
75310	181	543
75311	181	782
75312	181	292
75313	181	190
75314	181	229
75315	181	212
75316	181	197
75317	181	857
75318	181	376
75319	181	365
75320	181	319
75321	181	186
75322	181	185
75323	181	102
75324	181	115
75325	181	687
75326	181	860
75327	181	293
75328	181	511
75329	181	1631
75330	181	546
75331	181	1176
75332	181	504
75333	181	257
75334	181	109
75335	181	680
75336	181	256
75337	181	356
75338	181	1574
75339	181	61
75340	181	462
75341	181	228
75342	181	1376
75343	181	523
75344	181	458
75345	181	637
75346	181	739
75347	181	1128
75348	181	64
75349	181	91
75350	181	1007
75351	181	650
75352	181	582
75353	181	290
75354	181	540
75355	181	657
75356	181	466
75357	181	358
75358	181	6
75359	181	679
75360	181	377
75361	181	63
75362	181	136
75363	181	1048
75364	181	123
75365	181	105
75366	181	1065
75367	181	700
75368	181	621
75369	181	519
75370	181	1034
75371	181	849
75372	181	49
75373	181	157
75374	181	160
75375	181	331
75376	181	1097
75377	181	923
75378	181	604
75379	181	346
75380	181	1368
75381	181	1792
75382	181	569
75383	181	585
75384	181	70
75385	181	1205
75386	181	456
75387	181	448
75388	181	563
75389	181	1322
75390	181	274
75391	181	28
75392	181	231
75393	181	113
75394	181	465
75395	181	51
75396	181	592
75397	181	619
75398	181	783
75399	181	573
75400	181	449
75401	181	611
75402	181	316
75403	181	1602
75404	181	897
75405	181	557
75406	181	488
75407	181	238
75408	181	893
75409	181	711
75410	181	42
75411	181	388
75412	181	171
75413	181	673
75414	181	214
75415	181	1100
75416	181	671
75417	181	412
75418	181	1135
75419	181	478
75420	181	428
75421	181	249
75422	181	117
75423	181	1036
75424	181	1313
75425	181	526
75426	181	973
75427	181	616
75428	181	507
75429	181	310
75430	181	280
75431	181	615
75432	181	202
75433	181	631
75434	181	201
75435	181	270
75436	181	686
75437	181	798
75438	181	106
75439	181	878
75440	181	1395
75441	181	16
75442	181	528
75443	181	211
75444	181	595
75445	181	1156
75446	181	2
75447	181	736
75448	181	487
75449	181	199
75450	181	1487
75451	181	868
75452	181	133
75453	181	41
75454	181	794
75455	181	92
75456	181	76
75457	181	104
75458	181	251
75459	181	387
75460	181	469
75461	181	391
